id,app,category,matched,match_method,match_score,composio_slug,composio_name,auth_schemes,managed_auth_schemes,no_auth,auth_guide_url,tools_count,triggers_count,composio_categories
1,Salesforce,CRM and Sales,True,exact:slug_guess,1.0,salesforce,Salesforce,OAUTH2|S2S_OAUTH2,OAUTH2,False,,184,7,crm|contact management
2,HubSpot,CRM and Sales,True,exact:slug_guess,1.0,hubspot,HubSpot,OAUTH2|API_KEY,OAUTH2,False,,244,2,crm|marketing automation
3,Pipedrive,CRM and Sales,True,exact:slug_guess,1.0,pipedrive,Pipedrive,OAUTH2|API_KEY,,False,,399,3,crm|sales & crm
4,Attio,CRM and Sales,True,exact:slug_guess,1.0,attio,Attio,OAUTH2,OAUTH2,False,,99,0,crm
5,Twenty,CRM and Sales,False,none,0.0,,,,,,,,,
6,Podio,CRM and Sales,False,none,0.0,,,,,,,,,
7,Zoho CRM,CRM and Sales,False,none,0.0,,,,,,,,,
8,Close,CRM and Sales,True,exact:slug_guess,1.0,close,Close,API_KEY,,False,,6,0,crm|drip emails
9,Copper,CRM and Sales,False,none,0.0,,,,,,,,,
10,DealCloud,CRM and Sales,False,none,0.0,,,,,,,,,
11,Zendesk,Support and Helpdesk,True,exact:slug_guess,1.0,zendesk,Zendesk,OAUTH2,OAUTH2,False,,451,2,crm|customer support
12,Intercom,Support and Helpdesk,True,exact:slug_guess,1.0,intercom,Intercom,OAUTH2,OAUTH2,False,,133,0,customer support|crm
13,Freshdesk,Support and Helpdesk,True,exact:slug_guess,1.0,freshdesk,Freshdesk,API_KEY,,False,,178,0,crm|customer support
14,Front,Support and Helpdesk,False,none,0.0,,,,,,,,,
15,Pylon,Support and Helpdesk,False,none,0.0,,,,,,,,,
16,LiveAgent,Support and Helpdesk,False,none,0.0,,,,,,,,,
17,Plain,Support and Helpdesk,True,exact:slug_guess,1.0,plain,Plain,API_KEY,,False,,22,11,customer support
18,Help Scout,Support and Helpdesk,True,exact:slug_guess,1.0,help_scout,Help Scout,OAUTH2,,False,,129,0,customer support|communication
19,Gorgias,Support and Helpdesk,True,exact:slug_guess,1.0,gorgias,Gorgias,API_KEY|OAUTH2,OAUTH2,False,,32,0,crm|customer support
20,Gladly,Support and Helpdesk,False,none,0.0,,,,,,,,,
21,Slack,Communications and Messaging,True,exact:slug_guess,1.0,slack,Slack,OAUTH2,OAUTH2,False,,158,9,team chat|team collaboration
22,Twilio,Communications and Messaging,False,none,0.0,,,,,,,,,
23,Zoho Cliq,Communications and Messaging,False,none,0.0,,,,,,,,,
24,Lark (Larksuite),Communications and Messaging,False,none,0.0,,,,,,,,,
25,Pumble,Communications and Messaging,False,none,0.0,,,,,,,,,
26,Discord,Communications and Messaging,True,exact:slug_guess,1.0,discord,Discord,OAUTH2,OAUTH2,False,,23,1,team chat|team collaboration
27,Telegram,Communications and Messaging,True,exact:slug_guess,1.0,telegram,Telegram,API_KEY,,False,,18,0,team chat|notifications
28,WhatsApp Business,Communications and Messaging,True,exact:slug_guess,1.0,whatsapp,WhatsApp,OAUTH2|API_KEY,OAUTH2,False,,57,1,phone & sms|communication
29,Aircall,Communications and Messaging,False,none,0.0,,,,,,,,,
30,Vonage,Communications and Messaging,False,none,0.0,,,,,,,,,
31,Google Ads,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,googleads,Google Ads,OAUTH2,OAUTH2,False,,22,0,ads & conversion
32,Meta Ads,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,metaads,Meta Ads,OAUTH2|API_KEY,,False,,51,0,ads & conversion|social media marketing
33,LinkedIn Ads,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,linkedin_ads,Linkedin Ads,OAUTH2,,False,,28,0,marketing|ads & conversion
34,GoHighLevel,"Marketing, Ads, Email and Social",True,fuzzy,0.9,highlevel,Highlevel,OAUTH2,,False,,218,0,marketing automation|crm
35,Mailchimp,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,mailchimp,Mailchimp,OAUTH2,OAUTH2,False,,272,4,email newsletters|marketing automation
36,Klaviyo,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,klaviyo,Klaviyo,API_KEY|OAUTH2,,False,,225,0,marketing automation|email newsletters
37,systeme.io,"Marketing, Ads, Email and Social",False,none,0.0,,,,,,,,,
38,Pinterest,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,pinterest,Pinterest,OAUTH2,,False,,24,0,social media accounts|marketing
39,Threads (Meta),"Marketing, Ads, Email and Social",False,none,0.0,,,,,,,,,
40,SendGrid,"Marketing, Ads, Email and Social",True,exact:slug_guess,1.0,sendgrid,SendGrid,API_KEY,,False,,359,0,transactional email|email newsletters
